name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h3_d3_krylov_then_softmax_m2_seed1,path,3,3,6,True,krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6577768017263973,1.0,0.6577768017263973,1.9304956853455133,5.433488368988037
path_h3_d3_krylov_then_softmax_m2_seed2,path,3,3,6,True,krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6574477420133703,1.0,0.6574477420133703,1.9298605414951513,5.395496129989624
path_h3_d3_krylov_then_softmax_m2_seed3,path,3,3,6,True,krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6598483955158907,1.0,0.6598483955158907,1.934499033441748,5.475682735443115
path_h3_d3_krylov_then_softmax_m3_seed1,path,3,3,6,True,krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,3,128,4,512,1,30000,250,1.0,0.6577652819016401,1.0,0.6577652819016401,1.9304734465016176,7.424304008483887
path_h3_d3_krylov_then_softmax_m3_seed2,path,3,3,6,True,krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,3,128,4,512,2,30000,250,1.0,0.6574424042421229,1.0,0.6574424042421229,1.929850240368534,7.401376008987427
path_h3_d3_krylov_then_softmax_m3_seed3,path,3,3,6,True,krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,3,128,4,512,3,30000,250,1.0,0.6598626417272231,1.0,0.6598626417272231,1.9345265929201094,7.425782203674316
path_h3_d4_softmax_m1_seed1,path,3,3,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,1,30000,250,1.0,0.6517418384552002,1.0,0.6517418384552002,1.9188802992568934,0.8949036598205566
path_h3_d4_softmax_m1_seed2,path,3,3,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,2,30000,250,1.0,0.6544730523053337,1.0,0.6544730523053337,1.924128335198875,0.8945841789245605
path_h3_d4_softmax_m1_seed3,path,3,3,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,3,30000,250,1.0,0.6563294270459343,1.0,0.6563294270459343,1.9277035558859779,0.8815011978149414
path_h3_d4_krylov_m1_seed1,path,3,3,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,1,30000,250,1.0,0.6569638112012077,1.0,0.6569638112012077,1.9289268484555824,6.424066781997681
path_h3_d4_krylov_m1_seed2,path,3,3,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,2,30000,250,1.0,0.656619930267334,1.0,0.656619930267334,1.9282636413282401,6.434847593307495
